"prf_ph_wireless_start_assistant","Jetzt den Assistant für die Einbindung einer Mobilfunkrufnummer starten","Start the wizard for mobile phone number integration now",,,"Uruchom teraz asystenta dołączania numeru telefonu komórkowego","Porneşte acum asistentul pentru includerea telefonului mobil",
"prf_ph_workgroups_description","Gruppen und deren Mitglieder verwalten und editieren","Manage and edit groups and their members","správa a editace skupin a jejich členů","správa a editace skupin a jejich clenu","Zarządzanie grupami i innymi członkami  i edytować","Administrare/Editare grupe şi membri acestora",
"prf_wd_common","Allgemein","General","Všeobecně",,"Ogólne","În general",
"prf_wd_email_address_confirmed","Bestätigt","Confirmed","Potvrzeno",,"Potwierdzono","Confirmat",
"prf_wd_email_type_external","Extern","External","Externí",,"Zewnętrzny","Extern",
"prf_wd_overview","Übersicht","Overview","přehled","prehled","Przegląd","Vedere",
"prf_wd_personal","Persönliches","Personal","osobní","osobní","Informacje osobiste","Personal",
"prf_wd_signatures","Signaturen","Signatures","podpisy","podpisy","Podpisy","Semnături",
"prf_wd_timezone","Zeitzone","Time zone","Časové pásmo",,"Strefa czasowa","Fus orar",
"prf_wd_userdata","Benutzerdaten","User data","uživatelská data","uživatelská data","Dane użytkowników","Date utilizator",
"q_ph_xinwrongdatetimeformat","%x% ist im falschen Format eingegeben. (dd.mm.yyyy hh:mm:ss)","%x% has been entered in wrong format.(dd.mm.yyyy hh:mm:ss)","je zadaný špatný formát (dd.mm.rrrr hh:mm:ss)","je zadaný špatný formát (dd.mm.rrrr hh:mm:ss)","%x% podano w błędnym formacie (dd.mm.yyyy hh:mm:ss)","%x% este scrisă în formatul greşit. (dd.mm.yyy hh:mm:ss)",
"q_ph_xnotuploaded","Bitte %x% raufladen","Please upload %x%","prosím %x% načíst","prosím %x% nacíst","Proszę  %x% wprowadzić/pobrać pliki","%x% upload",
"q_ph_xonlynumeric","%x% darf nur numerische Werte enthalten","%x% must only contain numeric values","%x% smí obsahovat pouze číselné hodnoty","%x% smí obsahovat pouze císelné hodnoty","%x% może zawierać tylko numeryczne wartości","%x% poate conţine numai date numerice",
"scr_ph_createdby","Eingetragen von","Entered by","zapsaný od","zapsaný od","Wpisano przez","Creat de",
"scr_ph_default_view","... zur Standard-Ansicht","...to standard view","...k standartnímu pohledu","...k standartnímu pohledu","Do wgladu  standartowego","... spre vedere-standard",
"scr_ph_edit_header","Eintrag %SUBJECT% edtieren","Edit %subject% entry","editovat zápis %SUBJECT%","editovat zápis %SUBJECT%","Edytuj wpis %SUBJECT%","Menţiune %SUJECT% editare",
"scr_ph_forwardbymail","per E-Mail weiterleiten","Forward by email","předat pomocí E-mailu","predat pomocí E-mailu","Przekaż dalej  e-mailem","Redirecţionare per E-Mail",
"scr_ph_header_createnewitem","Neuen Eintrag erstellen","Create new entry","vytvořit nový zápis","vytvorit nový zápis","Utwórz nowy wpis","Creere menţiune nouă",
"scr_ph_header_show_item","Eintrag %SUBJECT% anzeigen","Show %SUBJECT%entry","zobrazit zápis %SUBJECT%","zobrazit zápis %SUBJECT%","Wprowadź wpis  %SUBJECT%","Arată menţiunea %SUBJECT% ",
"scr_ph_header_show_items","%TYPE% (%RECORDCOUNT% gefunden)","%type% (%recordcount% found)","%TYPE% (%RECORDCOUNT% nalezen)","%TYPE% (%RECORDCOUNT% nalezen)","%TYPE% (%RECORDCOUNT% znaleziono)","%TYPE% (%RECORDCOUNT% găsit)",
"scr_ph_new_item","Neuer Eintrag ...","New item",,,"Nowy wpis ...","Menţiune nouă ...",
"scr_ph_notessmstemplatestextblocks","Notizen/Textbausteine/SMS-Vorlagen","notes/text modules/ sms templates","poznámky/textové moduly/SMS předlohy","poznámky/textové moduly/SMS predlohy","Notatki/elementy tekstu/szablony SMS","Notă/Blocuri text/Model-SMS",
"scr_ph_openpopup","Als Popup öffnen","Open as popup","otevřít jako Popup","otevrít jako Popup","Otworzyć jako Popup ","Deschide toate Popup-uri",
"scr_ph_page_title","Notizen/Textbausteine/SMS-Vorlagen","notes/text modules/sms templates","poznámky/textové moduly/SMS předlohy","poznámky/textové moduly/SMS predlohy","Notatki/elementy tekstu/szablony SMS","Note/Blocuri text/Model-SMS",
"scr_ph_projectcategory","Projekt/Kategorie","project/category","projekt/kategorie","projekt/kategorie","Projekt/Kategoria","Proiect/Categorie",
"scr_ph_save_changes","Änderungen jetzt speichern","Save changes now","uložit změnu","uložit zmenu","Zapamiętaj teraz zmiany","Memorare modificări",
"scr_ph_searchfor","Suche nach","Search for","hledat","hledat","Poszukuj według","Căutare după",
"scr_ph_searchmode","Suchmodus aktiv","Search mode activated","hledání (ceho)","hledání (ceho)","Moduł poszukiwania aktywny","Modul de căutare activ",
"scr_ph_show_all_items","Alle Einträge anzeigen","Show all items","zobrazit všechny záznamy","zobrazit všechny záznamy","Pokazać wszystkie wpisy","Arată toate menţiunile",
"scr_ph_top_new","Neuen Eintrag ...","New item...","nový záznam....","nový záznam....","Nowy wpis","Menţiune nouă ...",
"scr_wd_action","Aktion","Action","akce","akce","Akcja","Acţiune",
"scr_wd_btn_create","Erstellen","Create","vytvořit","vytvorit","Utworzyć","Creere",
"scr_wd_btn_show","Anzeigen","Show","zobrazit","zobrazit","Wskazać","Arată",
"scr_wd_create","Erstellen","Create","vytvořit","vytvorit","Utworzyć","Creere",
"scr_wd_created","Erstellt","Created","vytvořeno","vytvoreno","Utworzono","Creat",
"scr_wd_createnew","Neuen Eintrag erstellen","Create new entry","vytvořit nový záznam","vytvorit nový záznam","Umieść nowy wpis","Creerea unei noi menţiuni",
"scr_wd_delete","Löschen","Delete","odstranit","odstranit","Usunąć","Ştergere",
"scr_wd_edit","Editieren","Edit","editovat","editovat","Edytować","Editare",
"scr_wd_filter","Filtern","Filter","filtrovat","filtrovat","Filtrowanie","Filtrare",
"scr_wd_modified","Geändert","Modified","změnit","zmenit","Zmienione","Modificat",
"scr_wd_notes","Notizen","Notes","poznámky","poznámky","Notatki","Note",
"scr_wd_overview","Übersicht","Overview","přehled","prehled","Przegląd","Vedere",
"scr_wd_project","Projekt","Project","projekt","projekt","Projekt","Proiect",
"scr_wd_search","Suchen","Search","hledat","hledat","Przeszukiwanie","Căutare",
"scr_wd_smstemplates","SMS-Vorlagen","Sms templates","SMS-předlohy","SMS-predlohy","SzablonySMS","Model-SMS",
"scr_wd_statistics","Statistik","Statistics","statistika","statistika","Statystyka","Statistică",
"scr_wd_subject","Betreff","Subject","věc","vec","Dotyczy","Subiect",
"scr_wd_text","Text","Text","text","text","Tekst","Text",
"scr_wd_textblocks","Textbausteine","Text modules","textové moduly","textové moduly","Elementy tekstu","Blocuri text",
"scr_wd_top_search","Suchen","Search ","hledat","hledat","Wyszukiwanie","Căutare",
"scr_wd_type","Typ","Type","typ","typ","Typ","Tip",
"scr_wd_view_boxmode","Boxenansicht","Box mode","náhled do boxu","náhled do boxu","Wygląd skrzynki","Vedere boxă",
"scr_wd_view_listmode","Listenansicht","List mode","náhled na seznam","náhled na seznam","Wygląd list","Vedere listă",
"scr_wd_workgroup","Arbeitsgruppe","Workgroup","pracovní skupina","pracovní skupina","Grupa robocza","Grupă de lucru",
"sec_ph_set_permissions","Berechtigungen setzen","Set permissions","stanovit oprávnění","stanovit oprávnení","Wstaw uprawnienia","Pune permisiune",
"sec_wd_role_guest","Gast","Guest","host","host","Gość","Oaspete",
"sec_wd_role_mainuser","Hauptbenutzer","Main user","hlavní uživatel","hlavní uživatel","Użytkownik główny","Utilizatorul principal",
"sec_wd_role_user","Benutzer","User","uživatel","uživatel","Użytkownik","Utilizator",
"settings_ph_confirm_external_address_body","Guten Tag!

Dieses E-Mail dient zur Bestaetigung Ihrer Identitaet - Sie müssen
nun einfach den untenstehenden Link anklicken um diese E-Mail
Adresse in die Verwaltung auf Inbox.cc aufzunehmen.

Sie koennen dann folgende Dinge tun:
- E-Mails dieser Adresse ueber InBox.cc von ueberall aus abfragen
- Auf diese E-Mails per WAP oder PDA zugreifen
- E-Mails unter dieser Adresse verschicken.

Klicken Sie nun hier:
%LINK%

Sollte die Zeile umgebrochen sein oder nicht alles als Link
markiert sein kopieren Sie bitte alles in die Adresseleiste
Ihres Browsers und druecken Sie dort ""Enter"".

Wenn Sie dieses Feature nicht angefordert haben koennen Sie
dieses E-Mail ignorieren.

Einen schönen Tag wuenscht Ihnen

das InBox.cc Team","Hello!

This e-mail is meant for confirmation purposes of your identity - you simply have to click the following link to accept this e-mail address for administration on InBox.cc. Then you can
do the following: Check emails of this address from anywhere in the world through InBox.cc  - access these emails by WAP or PDA - send
emails from this address.

Click here now:
%LINK%

Please copy everything to the address bar of your browser and press ""Enter"". If you haven´t  requested for this feature
you may ignore this email.

Have a nice day - your InBox.cc team.","Dobrý den! Tento E-mail slouží k potvrzení Vaší identity - aby byla zapsána tato E-mailová adresa ve správě InBoxu.cc, musíte kliknout na spodní link. Poté můžete provádět následující: - odkudkoliv se přihlásit na této E-mailové adrese - zpřístupnit tyto E-maily pomocí WAP nebo PDA - pod touto adresou posílat E-maily. Klikněte zde. %LINK% Pokud by měl být řádek přelomen a nebo nebyl označen jako link, zkopírujte všechno do adresáře Vašeho Browseru a zmáčkněte ''Enter''. Pokud jste si nevyžádali tyto nástroje, ignorujte tento E-mail. Pěkný den Vám přeje tým InBoxu.cc.","Dobrý den! Tento E-mail slouží k potvrzení Vaší identity - aby byla zapsána tato E-mailová adresa ve správe InBoxu.cc, musíte kliknout na spodní link. Poté mužete delat provádet následující: - odkudkoliv se prihlásit na této E-mailové adrese - zprístupnit tyto E-maily pomocí WAP nebo PDA - pod touto adresou posílat E-maily. Kliknete zde. %LINK% Pokud by mel být rádek prelomen a nebo nebyl oznacen jako link, zkopírujte všechno do adresáre Vašeho Browseru a zmácknete ''Enter''. Pokud jste si nevyžádali tyto nástroje, ignorujte tento E-mail. Pekný den Vám preje tým InBoxu.cc.","Dzień dobry!
Ten e-mail służy do potwierdzenia tożsamości.
Należy kliknąć poniższy link aby wprowadzić ten adres e-mail do administracji na InBox.cc.
Możesz robić następujące rzeczy.adresy e-mail uzyskać zewsząd przez InBox.cc.
Dotrzeć do tych adresów e-mail za pomocą WAP lub PDA. Przesłać e-maile pod ten adres.

Kliknij teraz
%LINK%.
Jeśli linia ta ma być przerwana lub nie wszystko zaznaczone jako link, skopiuj wszystko na
listę adresową swojego Browsers i przyciśnij tam Enter.

Jeśli nie żądałeś  tego  Feature możesz zignorować tego e-maila.

Życzymy miłego dnia grupa  InBox.cc","Bună ziua! Acest E-Mail a fost trimis cu scopul de a confirma identitatea dvs. –Trebuie doar să faceţi clic pe link-ul de mai jos pentru a fi preluată adresa de E-Mail în administratorul de pe InBox.cc. Apoi puteţi face următoarele lucruri: - acesare adresa E-Mail cu InBox.cc din toată lume – Accesare E-Mail per WAP sau PDA – Posibilitatea de trimetere E-Mail sub această adresă. Clic aici pe acest link %LINK%. Dacă rândul este întrerupt copiaţi tot link-ul şi introduceţil în lista de adrese şi apăsaţi apoi „ENTER”. Dacă nu aţi solicitat aceste caractere puteţi ignora acest E-Mail. Echipa InBox.cc vă doreşte O zi frumoasă.",
"settings_ph_confirm_external_address_subject","Identitaet bestaetigen","Confirm identity","potvrdit identitu","potvrdit identitu","Tożsamość potwierdzić","Confirmare indentitate",
"signup_ph_pleaseenteryourname","Geben Sie bitte Ihren Namen ein:","Please enter your name:","zadejte Vaše jméno:","zadejte Vaše jméno:","Podaj swoją nazwę","Introduceţi numele:",
"signup_ph_setusernamepassword","Benutzername und Passwort festlegen","Define username and password","stanovit heslo a jméno uživatele","stanovit heslo a jméno uživatele","Ustal nazwę użytkownika i hasło dostępu","Setare utilizator şi parolă",
"signup_wd_firstname","Vorname","First name","jméno","jméno","Imię","Prenume",
"signup_wd_surname","Nachname","Surname","příjmení","príjmení","Nazwisko","NUME",
"signup_wd_title","Titel","Title","titul","titul","Tytuł","Titlu",
"snp_pg_explain_how_simple","So einfach funktioniert es",,,,,"Aşa uşor funcţionează",
"snp_pg_explain_how_simple_description","Füllen Sie das Formular vollständig aus und senden Sie es ab - wenige Sekunden später werden Sie automatisch einloggt und können sich von den Vorteilen unseres Systems überzeugen.",,,,,"Completaţi formularul în întregime şi expediaţi acest formular. În câteva minute veţi fi logat automat şi puteşi beneficia de avantajele sistemului nostru.",
"snp_pg_invite_team_show_alternative_usernames","Alternativen und eigene Wahlmöglichkeit anzeigen ...",,,,,"Arată modalitaţile de selectare proprii şi alternative ...",
"snp_pg_invite_team_welcome_text","Guten Tag!
Sie sind auf diese Seite gelangt weil Sie in eine Gruppe eingeladen wurden.
Bitte wählen Sie nun Ihren Benutzernamen und Ihr Passwort um die Einrichtung abzuschließen.",,,,,"Bună ziua! Aţi ajuns pe această pagină, deoarece aţi fost invitat într-o echipă. Selectaţi numele de ultilizator şi parola dvs. pentru a încheia procedura.",
"snp_pg_your_profile","Ihr Profil",,,,,"Profilul dvs.",
"snp_ph-welcome_enter_data","Herzlich willkommen bei der Registrierung auf InBox.cc.
			<br><br>
			Bitte geben Sie nun Ihre Daten an um die kostenlose InBox.cc Testphase nutzen zu können.","Welcome to the registration page on InBox.cc.
<br><br>
Please enter your data to be able to use the free trial period.","Vítejte v registrace na InBox.cc<br><br>prosím uveďte Vaše údaje ,aby jste mohli využít bezplatného testu InBoxu.cc.
<br>Ano, souhlasím se všeobecnými obchodními podmínkami
","Vítejte v registrace na InBox.cc<br><br>prosím uvedte Vaše údaje ,aby jste mohli využít bezplatného testu InBoxu.cc.
<br>Ano, souhlasím se všeobecnými obchodními podmínkami
","Serdecznie witam przy rejestracji na InBox.cc  Wprowadź swoje dane, aby skorzystać z z wersji testowej.","Bine aţi venit la înregistrarea pe InBox.cc.<br><br> Introduceţi datele pentru a putea folosi gratuit faza de testare pe InBox.cc.",
"snp_ph_agree_to_ctc","Ja, ich stimme den Allgemeinen Geschaeftsbedingungen zu","Yes, I agree to the general terms and conditions","Ano, souhlasím se všeobecnými obchodními podmínkami","Ano, souhlasím se všeobecnými obchodními podmínkami","Tak, zgadzam się z warunkami handlowymi","Da, accept legislaţia civilă",
